Confirmed list of securities to be auctioned in A 2024197 to be held on Oct 18 2024.

Sr No,Symbol,Series,Total Qty
1,ABCAPITAL,EQ,14
2,ABMINTLLTD,EQ,1259
3,ACLGATI,EQ,47
4,ADFFOODS,EQ,200
5,ANDHRSUGAR,EQ,100
6,ANLON,SM,400
7,APOLLOHOSP,EQ,1
8,APOLLOTYRE,EQ,551
9,ASHOKA,EQ,31
10,ASKAUTOLTD,EQ,1
11,ASTRAZEN,EQ,10
12,AVANTEL,EQ,1
13,AWFIS,EQ,1
14,BAJAJ-AUTO,EQ,10
15,BAJAJHFL,EQ,263
16,BALRAMCHIN,EQ,15
17,BANARBEADS,EQ,14615
18,BATAINDIA,EQ,346
19,BBTC,EQ,245
20,BEPL,EQ,366
21,BESTAGRO,EQ,10
22,BHAGYANGR,EQ,99
23,BHARATFORG,EQ,2
24,BHEL,EQ,148
25,BIKAJI,EQ,5
26,BOMDYEING,EQ,7
27,BPCL,EQ,1201787
28,BSOFT,EQ,1000
29,CANBK,EQ,500
30,CIGNITITEC,EQ,2
31,CIPLA,EQ,50
32,CLSEL,EQ,24
33,COASTCORP,EQ,4
34,COFORGE,EQ,20
35,DATAMATICS,EQ,31
36,DBREALTY,EQ,15484
37,DCMSHRIRAM,EQ,623
38,DEEPAKNTR,EQ,7
39,DLF,EQ,2
40,DUCON,EQ,180
41,EDELWEISS,EQ,1
42,EMMBI,EQ,1
43,ESCORTS,EQ,12
44,FAZE3Q,EQ,48
45,GFLLIMITED,EQ,3
46,GILT5YBEES,EQ,171
47,GLAXO,EQ,9352
48,GLENMARK,EQ,1038
49,GOYALALUM,EQ,377
50,GRASIMPP1,E1,5
51,GTECJAINX,EQ,420
52,GULPOLY,EQ,302
53,HAPPSTMNDS,EQ,100
54,HARSHA,EQ,45
55,HCC,EQ,1325
56,HDFCBANK,EQ,3
57,HFCL,EQ,500
58,HIMATSEIDE,EQ,1
59,HINDALCO,EQ,944
60,HINDCOMPOS,EQ,1
61,HINDOILEXP,EQ,500
62,HINDPETRO,EQ,1118
63,HINDWAREAP,EQ,2
64,HIRECT,EQ,4322
65,ICIL,EQ,100
66,IDFNIFTYET,EQ,3
67,IGARASHI,EQ,34
68,INDBANK,EQ,5
69,INDIAGLYCO,EQ,3
70,INFOLLION,SM,800
71,INFY,EQ,1
72,INNOVACAP,EQ,1
73,INTERARCH,EQ,380
74,IOB,EQ,6635
75,IOC,EQ,2761314
76,IRB,EQ,9
77,JSL,EQ,29
78,JSWENERGY,EQ,1
79,JUBLINDS,EQ,1
80,JWL,EQ,100
81,KAMATHOTEL,EQ,43
82,KAYNES,EQ,2
83,KEC,EQ,160
84,KICL,EQ,9
85,LICMFGOLD,EQ,4
86,LIQUIDADD,EQ,3
87,LLOYDSENGG,EQ,1000
88,LPDC,EQ,2312
89,LT,EQ,92
90,LUXIND,EQ,2
91,MAANALU,EQ,1
92,MAXPOSURE,SM,12000
93,MCLEODRUSS,EQ,317
94,MFSL,EQ,1
95,MITCONPP,E1,3
96,MITTAL,EQ,809
97,MOL,EQ,1
98,MOLDTKPAC,EQ,3
99,MONIFTY500,EQ,113
100,MOTHERSON,EQ,26927
101,MPHASIS,EQ,56
102,MSTCLTD,EQ,125
103,NATIONALUM,EQ,422
104,NCLIND,EQ,20
105,NIACL,EQ,500
106,NIFTYBEES,EQ,2
107,NIPPOBATRY,EQ,1
108,NITCO,EQ,104
109,NTPC,EQ,429
110,OFSS,EQ,2
111,OLAELEC,EQ,1
112,OMAXE,EQ,500
113,ORICONENT,EQ,1
114,ORIENTBELL,EQ,52
115,PARAS,EQ,3
116,PATELENG,EQ,9
117,PAYTM,EQ,20
118,PLATIND,EQ,2
119,POCL,EQ,350
120,POWERINDIA,EQ,1
121,PUNJABCHEM,EQ,21
122,RAILTEL,EQ,10
123,RALLIS,EQ,1001
124,RCF,EQ,3001
125,RGL,EQ,94
126,RHL,EQ,115
127,ROML,EQ,95
128,RTNPOWER,EQ,4600
129,RVNL,EQ,100
130,SAIL,EQ,11000
131,SANOFICONR,EQ,15
132,SANSERA,EQ,50
133,SAPPHIRE,EQ,1891
134,SCHAEFFLER,EQ,1
135,SEJALLTD,EQ,31
136,SEPC,EQ,500
137,SHILPAMED,EQ,3
138,SILVERIETF,EQ,267
139,SILVRETF,EQ,110
140,SJVN,EQ,383
141,SKIPPER,EQ,1
142,SOLARA,EQ,100
143,SOLARAPP,E1,21
144,SOUTHBANK,EQ,5000
145,SPCENET,EQ,50
146,SRF,EQ,63
147,SRPL,EQ,105674
148,STAR,EQ,200
149,STARTECK,EQ,20
150,STLTECH,EQ,1
151,STYLAMIND,EQ,50
152,SYNCOMF,EQ,2000
153,TAINWALCHM,EQ,1
154,TAJGVK,EQ,10
155,TATAPOWER,EQ,25
156,TATATECH,EQ,5
157,TATVA,EQ,75
158,TCI,EQ,100
159,TECHM,EQ,1
160,TEJASNET,EQ,16
161,TEXMOPIPES,EQ,2
162,THOMASCOTT,EQ,6
163,TVSHLTD,EQ,5
164,UNIONBANK,EQ,3
165,UNIVCABLES,EQ,1
166,UYFINCORP,EQ,1
167,VAISHALI,EQ,1000
168,VAKRANGEE,EQ,40
169,VBL,EQ,12568
170,VEDL,EQ,829
171,VPRPL,EQ,3000
172,ZOMATO,EQ,100
173,ZYDUSLIFE,EQ,18
