ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF903J01G00,540,DP,OMF,9,69.49
INF903J01G18,540,DR,OMF,9,69.49
INF084M01044,1054,GR,OMF,9,32.94
INF084M01069,1055,DR,OMF,9,29.97
INF084M01051,1056,DP,OMF,9,29.97
INF084M01077,1057,GR,OMF,9,41.27
INF084M01093,1058,DR,OMF,9,37.01
INF090I01KM9,090I01KM9,DR,GMF,10,10.05
INF090I01LP0,090I01LP0,GR,GMF,10,15.92
INF090I01LQ8,090I01LQ8,GR,GMF,10,10
INF090I01LR6,090I01LR6,GR,GMF,10,10
INF090I01SS9,090I01SS9,GR,GMF,5,1293.47
INF109KC15H0,109KC15H0,DP,GMF,10,1179.46
INF109KC16H8,109KC16H8,DP,GMF,10,1179.44
INF109KC17H6,109KC17H6,DP,GMF,10,1000
INF109KC18H4,109KC18H4,DP,GMF,10,1000
INF209K01UU3,151GZ,GR,GMF,10,355.03
INF209K01SZ6,151ID,DR,GMF,10,100.06
INF209KB1ZC3,157G,GR,GMF,5,1332.39
INF209KB1ZE9,157WD,DR,GMF,10,1001.03
INF209KB1ZH2,157Z,GR,GMF,5,1341.65
INF084M01085,1059,DP,OMF,9,37.01
INF084M01101,1060,GR,OMF,9,53.21
INF084M01127,1061,DR,OMF,9,48.71
INF084M01119,1062,DP,OMF,9,48.71
INF03VN01852,03VN01852,GR,OMF,9,11.33
INF03VN01860,03VN01860,GR,OMF,9,11.47
INF03VN01878,03VN01878,GR,OMF,9,13.11
INF03VN01886,03VN01886,GR,OMF,9,13.27
INF03VN01894,03VN01894,GR,OMF,9,12.21
INF03VN01902,03VN01902,GR,OMF,9,12.34
INF903J01MJ3,04PD,GR,OMF,9,1516.11
INF903J01MH7,05PD,DP,OMF,9,76.35
INF903J01MI5,05PD,DR,OMF,9,76.35
INF082J01085,082J01085,DR,OMF,9,130.22
INF084M01BA8,084M01BA8,DP,OMF,9,32.15
INF966L01BF7,166GGDG,GR,GMF,10,11.52
INF966L01BI1,166GGGP,GR,GMF,10,11.33
INF966L01820,166LFDG,GR,GMF,10,40.35
INF966L01796,166LFDM,DP,GMF,10,15.7
INF966L01812,166LFDM,DR,GMF,10,15.7
INF090I01510,090I01510,GR,OMF,9,212.07
INF090I01528,090I01528,DP,OMF,9,18.99
INF090I01536,090I01536,DR,OMF,9,18.99
INF090I01JZ3,090I01JZ3,GR,OMF,9,231.06
INF090I01KA4,090I01KA4,DP,OMF,9,20.95
INF090I01KB2,090I01KB2,DR,OMF,9,20.95
INF090I01KU2,090I01KU2,GR,OMF,9,10.63
INF090I01LM7,090I01LM7,GR,OMF,9,38.49
INF0GCD01719,0GCD01719,GR,OMF,9,11.77
INF0GCD01743,0GCD01743,GR,OMF,9,11.87
INF0K1H01099,0K1H01099,GR,OMF,9,11.08
INF0K1H01107,0K1H01107,DP,OMF,9,11.08
INF0K1H01115,0K1H01115,DR,OMF,9,11.08
INF0QA701797,0QA701797,GR,OMF,9,10.74
INF0QA701805,0QA701805,DP,OMF,9,10.74
INF0QA701813,0QA701813,DR,OMF,9,10.74
INF0QA701821,0QA701821,GR,OMF,9,10.81
INF0R8701178,0R8701178,GR,OMF,9,10.69
