MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AI,948SCL26D,SEC RE NCD 9.48% SR.V,       875.00,       900.00,       900.00,       900.00,       900.00,                     4500.00,5, ,1,      1150.00,       800.00
N,AN,971SCL28,SEC RE NCD 9.71% SR.VIII,       900.00,       900.00,       900.00,       877.50,       900.00,                    55755.00,62, ,3,       994.00,       810.21
N,BV,10SCL30A,SEC RE NCD 9.71% SR VIII,       840.00,       873.00,       950.00,       844.00,       950.00,                    10726.00,12, ,3,      1240.00,       770.20
N,N0,1190VCCL26,VCCL 11.90% 2026,     98500.00,     98500.00,     98500.00,     98500.00,     98500.00,                    98500.00,1, ,1,     99599.00,     98500.00
N,N0,885MOFSL26,SEC RE NCD 8.85% SR I,      1020.20,      1011.00,      1020.20,      1010.20,      1020.20,                    47715.40,47, ,4,      1039.70,       950.00
N,N0,975NFL25,SEC RE NCD 9.75% SR. I,       991.05,       990.00,       990.12,       990.00,       990.12,                   416797.22,421, ,5,      1010.00,       912.20
N,N0,9PEL25,SEC RE NCD 9.00% SR I,      1071.00,      1005.00,      1005.00,      1005.00,      1005.00,                    35175.00,35, ,1,      1099.00,       985.00
N,N0,IMC1,SEC RE NCGB 8.25% STRPP A,       250.10,       251.00,       251.00,       251.00,       251.00,                    63252.00,252, ,3,       260.00,       241.00
N,N1,1025SCL34B,SEC RE NCD 10.25% SR XII,       972.00,       980.00,       980.00,       980.00,       980.00,                    39200.00,40, ,2,      1000.00,       900.30
N,N1,79NHIT35,SEC RE NCD 7.90% STRPP A,       301.05,       305.00,       305.00,       301.50,       302.00,                   260148.80,859, ,8,       319.00,       295.00
N,N1,872MMFSL26,8.72% UNSECURED NCD,      1020.00,      1020.00,      1020.00,      1020.00,      1020.00,                    91800.00,90, ,1,      1145.00,       972.00
N,N1,905PEL26,SEC RE NCD 9.05% SR II,      1050.00,      1047.00,      1047.00,      1000.00,      1030.00,                   107170.00,105, ,5,      1099.00,       983.87
N,N1,925AEL26,SEC RE NCD 9.25% SR I,       997.50,       999.09,      1008.00,       999.09,      1008.00,                   115786.35,115, ,2,      1102.00,       990.00
N,N1,945CAGL24,SEC RE NCD 9.45% SR. I,       998.00,      1000.00,      1000.00,      1000.00,      1000.00,                     1000.00,1, ,1,      1012.95,       876.00
N,N1,965SCL26F,SEC RE NCD 9.65% SR I,       931.00,       931.00,       931.35,       901.00,       903.04,                    59118.75,65, ,5,       999.70,       901.00
N,N1,IMC1,SEC RE NCGB 8.25% STRPP B,       251.80,       251.80,       251.80,       251.80,       251.80,                     4784.20,19, ,2,       263.74,       240.00
N,N2,736PFCL28,7.36% TAX FREE NCD,      1102.10,      1104.40,      1105.00,      1104.40,      1105.00,                   276130.00,250, ,3,      1179.95,      1010.60
N,N2,738REC27TF,TAXFREE SEC NCD TR1 S2,      1108.11,      1115.00,      1115.00,      1115.00,      1115.00,                    12265.00,11, ,1,      1155.00,      1041.47
N,N2,764NABAR31,7.64% TAX FREE TRI SRIIB,      1136.41,      1139.50,      1139.50,      1139.50,      1139.50,                    51277.50,45, ,1,      1333.20,      1120.00
N,N2,79NHIT40,SEC RE NCD 7.90% STRPP B,       304.80,       304.00,       304.30,       301.27,       303.00,                    62781.04,208, ,10,       313.98,       298.45
N,N2,810IRFC27,BOND 8.10% PA TAX FREE S2,      1080.00,      1080.00,      1085.00,      1071.00,      1085.00,                  4628834.90,4295, ,13,      1150.00,      1045.06
N,N2,82HUDCO27,8.20 NCD05MAR27 FV 1000,      1135.00,      1146.00,      1146.00,      1127.00,      1143.00,                  3404190.00,2996, ,16,      1209.99,      1060.00
N,N2,830NHAI27,BOND 8.30% PA TAX FREE S2,      1080.00,      1080.00,      1095.00,      1065.53,      1077.46,                 10707152.87,9912, ,56,      1170.00,      1049.10
N,N2,9MMFSML,9.00% UNSECURED NCD,      1037.90,      1036.10,      1036.10,      1036.10,      1036.10,                    33155.20,32, ,1,      1131.00,       996.00
N,N2,CAGL24,SEC RE NCD SR. II,      1191.00,      1190.00,      1190.00,      1190.00,      1190.00,                     3570.00,3, ,1,      1191.00,      1064.96
N,N3,0MOFSL27,SEC RE NCD SR IV,      1000.00,      1015.00,      1015.00,      1007.00,      1008.39,                   166715.00,165, ,3,      1015.00,       860.15
N,N3,760PFCL35,7.60% TAX FREE NCD,      1163.30,      1165.10,      1170.00,      1163.20,      1169.90,                   596890.15,511, ,44,      1276.00,      1119.01
N,N3,79NHIT47,SEC RE NCD 7.90% STRPP C,       400.54,       404.90,       404.90,       401.02,       404.00,                     4441.40,11, ,4,       439.00,       392.00
N,N3,935PEL33,SEC RE NCD 9.35% SR IV,      1100.00,      1060.00,      1060.00,      1060.00,      1060.00,                   254400.00,240, ,4,      1115.01,       983.00
N,N3,IMC1,SEC RE NCGB 8.25% STRPP D,       252.00,       252.00,       252.00,       252.00,       252.00,                     2520.00,10, ,1,       266.50,       225.00
N,N4,1003ISFL28,SEC RE NCD 10.03% SR 5,       991.00,       971.00,       991.99,       970.01,       988.12,                   533182.45,544, ,16,      1018.99,       933.00
N,N4,1040UCL25,SEC RED NCD 10.40% SR.III,       995.00,       990.00,       990.00,       990.00,       990.00,                     4950.00,5, ,1,      1009.80,       967.50
N,N4,10IIFL28,UNSEC RE NCD 10% SR.I,       953.99,       934.01,       950.00,       934.01,       950.00,                   579786.99,612, ,14,      1040.00,       902.00
N,N4,78ABFL33,SEC RE NCD 7.80% SR V,       998.00,       990.00,       990.00,       990.00,       990.00,                    36630.00,37, ,3,      1090.00,       960.00
N,N4,801TCH25,SEC RED NCD 8.01% SR.II,      1005.00,      1003.00,      1003.00,      1003.00,      1003.00,                    10030.00,10, ,1,      1096.96,       951.00
N,N4,891IIFCL34,8.91% TAX FREE NCD,      1312.70,      1320.00,      1320.00,      1318.00,      1318.00,                    39550.00,30, ,3,      1399.00,      1241.02
N,N4,897MOFSL29,SEC RE NCD 8.97% SR V,      1001.00,      1001.01,      1007.00,      1001.01,      1001.05,                   555277.05,554, ,8,      1018.00,       989.00
