1,AARTIPHARM,INE0LRU01027,616.35,20
2,DEEPAKNTR,INE288B01029,2868.75,20
3,TVSSCS,INE395N01027,186.98,20
4,RELINFRA,INE036A01016,277.95,100
5,NFL,INE870D01012,117.81,22.01
6,MARUTI,INE585B01010,12143.75,9
7,RAJESHEXPO,INE343B01030,280.9,20
8,BLUESTARCO,INE472A01039,2019.2,20
9,SGBJAN29IX,IN0020200377,8101.58,10
10,ITI,INE248A01017,239.35,21.68
11,BECTORFOOD,INE495P01012,1852.25,20
12,SGBMAR25,IN0020160126,7991.13,10
13,INDIAGLYCO,INE560A01015,1384.55,20
14,PGEL,INE457L01029,593.55,22.57
15,PREMIERENE,INE0BS701011,1084.1,20
16,SGBSEP27,IN0020190115,8000,10
17,SGBNOV25VI,IN0020170083,8000,10
18,RECLTD,INE020B01018,542.35,20.08
19,SGBAUG27,IN0020190107,8246.5,10
20,SGBMAY26,IN0020180033,8024.54,10
21,FLUOROCHEM,INE09N301011,4680.55,20
22,CHEMPLASTS,INE488A01050,489.4,20
23,PAGEIND,INE761H01022,45463.75,20
24,EICHERMOT,INE066A01021,4623.85,9.59
25,GUJALKALI,INE186A01019,823,20
26,NMDC,INE584A01023,224.02,20
27,KIRLOSENG,INE146L01010,1205,20
28,DHANI,INE274G01010,65.61,25.35
29,MOIL,INE490G01020,367.15,20.25
30,ANANTRAJ,INE242C01024,765.15,20
31,LMW,INE269B01029,16540.85,20
32,TIINDIA,INE974X01010,4461.35,20
33,STANLEY,INE01A001028,477.25,20
34,CHAMBLFERT,INE085A01013,500.3,20
35,SGBNOV25,IN0020170091,8049,10
36,RCF,INE027A01015,175.12,21.41
37,SANDHAR,INE278H01035,541.85,20
38,NCC,INE868B01028,310.6,20
39,STOVEKRAFT,INE00IN01015,879.25,20
40,VENUSPIPES,INE0JA001018,1895.4,20
41,TITAN,INE280A01028,3403.35,9.02
42,BASF,INE373A01013,8252.45,20
43,NIFTYIETF,INF109K012R6,275,6
44,HDFCBANK,INE040A01034,1673.15,9
45,HINDALCO,INE038A01020,734.8,12.52
46,LIQUIDBEES,INF732E01037,1000,5
47,POWERINDIA,INE07Y701011,15802.65,20
48,TATACONSUM,INE192A01025,1090.15,9
49,SUBEXLTD,INE754A01055,25.96,20.18
50,SGBMAR30X,IN0020210319,8300.05,10
51,TANLA,INE483C01032,856.95,20
52,TORNTPHARM,INE685A01028,3396.65,20
53,YESBANK,INE528G01035,20.9,20
54,COLPAL,INE259A01022,3370.25,20
55,NRBBEARING,INE349A01021,276.55,20
56,ROSSARI,INE02A801020,878.2,20
