SYMBOL,SERIES,ISIN,Sec Desc,STT Indicator                                                                                                             
VF1DD,MF,INF903J011A5,SUNDARMAMC - VF1DD,EF                                                                                                           
CPSEETF,EQ,INF457M01133,CPSE ETF,EF                                                                                                                   
SMF541,MF,INF903J01M28,SUNDARMAMC - SMF541,EF                                                                                                         
T5RD,MF,INF903J019C4,SUNDARMAMC - T5RD,EF                                                                                                             
EC3DD,MF,INF903JA1DE9,SUNDARMAMC - EC3DD,EF                                                                                                           
AJOONI-RE,BL,INE820Y20013,AJOONI BIOTECH LIMITED,RE                                                                                                   
MITTAL-RE,BE,INE997Y20019,MITTAL LIFE STYLE LIMITED,RE                                                                                                
LICNMID100,BL,INF767K01RN1,LICNAMC - LICNMID100,EF                                                                                                    
PATINT-RE2,BL,INE529D20030,PATEL INTEGRATED LOGISTIC,RE                                                                                               
ORIENT-RE,BE,INE998H20012,ORIENTAL TRIMEX LIMITED,RE                                                                                                  
MOLOWVOL,BL,INF247L01BL0,MOTILALAMC - MOLOWVOL,EF                                                                                                     
MC1RG,MF,INF903JA1DR1,SUNDARMAMC - MC1RG,EF                                                                                                           
MC2RG,MF,INF903JA1ED9,SUNDARMAMC - MC2RG,EF                                                                                                           
M15RD,MF,INF903JA1AM8,SUNDARMAMC - M15RD,EF                                                                                                           
PNB-RE,BE,INE572E20012,PNB HOUSING FIN LTD.,RE                                                                                                        
IBULHSGFIN,W1,INE148I13017,INDIABULLS HSG FIN LTD,RE                                                                                                  
SOLARA-RE,BE,INE624Z20016,SOLARA ACTIVE PHA SCI LTD,RE                                                                                                
ASIAN-RE1,BL,INE022I20027,ASIAN GRANITO INDIA LIMIT,RE                                                                                                
MNC,BL,INF174KA1JF2,KOTAKMAMC - KOTAKMNC,EF                                                                                                           
NANDANI-RE,BL,INE696V20013,NANDANI CREATION LTD,RE                                                                                                    
ABSLBANETF,BL,INF209KB17D5,BIRLASLAMC - ABSLBANETF,EF                                                                                                 
GRASIM-RE,BE,INE047A20013,GRASIM IND LTD,RE                                                                                                           
HATSUN-RE,BE,INE473B20019,HATSUN AGRO PROD LTD-RE,RE                                                                                                  
MOREALTY,EQ,INF247L01CI4,MOTILALAMC - MOREALTY,EF                                                                                                     
ICICITECH,EQ,INF109KC16I6,ICICIPRAMC - ICICITECH,EF                                                                                                   
ICICI500,BL,INF109KC1V59,ICICIPRAMC - ICICI500,EF                                                                                                     
GDL-RE,BL,INE852F20015,GATEWAY DISTRIPARKS RE,RE                                                                                                      
542809,MF,INF204KB11F4,Nippon India Mutual Fund,EF                                                                                                    
542814,MF,INF204KB11G2,Nippon India Mutual Fund,EF                                                                                                    
542842,MF,INF204KB13F0,Nippon India Mutual Fund,EF                                                                                                    
542808,MF,INF204KB14E1,Nippon India Mutual Fund,EF                                                                                                    
542848,MF,INF204KB14F8,Nippon India Mutual Fund,EF                                                                                                    
542836,MF,INF204KB15E8,Nippon India Mutual Fund,EF                                                                                                    
542845,MF,INF204KB17G9,Nippon India Mutual Fund,EF                                                                                                    
542810,MF,INF204KB18E2,Nippon India Mutual Fund,EF                                                                                                    
542820,MF,INF204KB19G5,Nippon India Mutual Fund,EF                                                                                                    
LIBAS-RE,BE,INE908V20012,LIBAS CON PRODUCT LTD,RE                                                                                                     
DIL-RE,BE,INE411Y20011,DEBOCK INDUSTRIES LIMITED,RE                                                                                                   
HDFCLOWVOL,EQ,INF179KC1HU8,HDFCAMC - HDFCLOWVOL,EF                                                                                                    
MID150BEES,EQ,INF204KB1V68,NIP IND ETF MIDCAP 150,EF                                                                                                  
NIF100BEES,EQ,INF204K014N5,NIP IND ETF NIFTY 100,EF                                                                                                   
LOWVOL,EQ,INF769K01JU9,MIRAEAMC - MANV30F,EF                                                                                                          
NIFTYQLITY,BL,INF209KB15K4,BIRLASLAMC - NIFTYQLITY,EF                                                                                                 
539031,BL,INF200KA1572,SBI Mutual Fund,EF                                                                                                             
540154,EQ,INF194KA1T91,Bandhan Mutual Fund,EF                                                                                                         
540154,BL,INF194KA1T91,Bandhan Mutual Fund,EF                                                                                                         
COAST-RE,BL,INE377E20016,COASTAL CORP LIMITED-RE,RE                                                                                                   
HDFCQUAL,EQ,INF179KC1DL6,HDFCAMC - HDFCQUAL,EF                                                                                                        
GAL-RE,BE,INE482J20013,GYSCOAL ALLOYS LTD,RE                                                                                                          
PATEL-RE,BL,INE244B20014,PATEL ENGINEERING LIMITED,RE                                                                                                 
CGCL-RE,BL,INE180C20018,CAPRI GLOBAL CAP LTD,RE                                                                                                       
SEPC-RE,BL,INE964H20014,SEPC LIMITED,RE                                                                                                               
IRBIT-RE,ID,INE0C8K20042,IRB INFRA TRU RE,RE                                                                                                          
MARSHAL-RE,BL,INE00SZ20018,MARSHALL MACHINES LIMITED,RE                                                                                               
MIDCAPIETF,EQ,INF109KC11W8,ICICIPRAMC - ICICIM150,EF                                                                                                  
HEALTHIETF,EQ,INF109KC1Q72,ICICIPRAMC - ICICIPHARM,EF                                                                                                 
FMCGIETF,EQ,INF109KC19V3,ICICIPRAMC - ICICIFMCG,EF                                                                                                    
PSUBNKIETF,EQ,INF109KC10S8,ICICIPRAMC - PSUBANKICI,EF                                                                                                 
PVTBANIETF,EQ,INF109KC18U7,ICICIPRAMC - ICICIBANKP,EF                                                                                                 
PVTBANIETF,BL,INF109KC18U7,ICICIPRAMC - ICICIBANKP,EF                                                                                                 
HDFCPSUBK,EQ,INF179KC1HW4,HDFCAMC HDFCPSUBK,EF                                                                                                        
HDFCPSUBK,BL,INF179KC1HW4,HDFCAMC HDFCPSUBK,EF                                                                                                        
BANKETFADD,BL,INF740KA1RX3,DSPAMC - DSPBANKETF,EF                                                                                                     
HCC-RE,BL,INE549A20018,HINDUSTAN CONSTRUCTION CO,RE                                                                                                   
NIRMAN-RE,ST,INE0OK720014,NIRMAN AGRI GENTICS LTD,RE                                                                                                  
ATAL-RE,BL,INE0ALR20011,ATAL REALTECH LIMITED,RE                                                                                                      
AKSH-RE,BE,INE256Z20017,AKSHAR SPINTEX LIMITED,RE                                                                                                     
EBANKNIFTY,BL,INF754K01TE4,EDELAMC - EBANKNIFTY,EF                                                                                                    
SADHNAN-RE,BE,INE888C20016,SADHANA NITROCHEM LIMITED,RE                                                                                               
NIFMID150,BL,INF789F1AYX9,UTIAMC - NIFMID150,EF                                                                                                       
M17RG,MF,INF903JA1BF0,SUNDARMAMC - M17RG,EF                                                                                                           
EC4RG,MF,INF903JA1DN0,SUNDARMAMC - EC4RG,EF                                                                                                           
NAVINIFTY,BL,INF959L01HI3,NAVIAMC - NAVINIFTY,EF                                                                                                      
NAVINIFTY,EQ,INF959L01HI3,NAVIAMC - NAVINIFTY,EF                                                                                                      
538593,MF,INF204KA1RW4,RELIANCE MUTUAL FUND- RELIANCE,EF                                                                                              
VCL-RE,BE,INE098220010,VAXTEX COTFAB LIMITED,RE                                                                                                       
EQUAL50ADD,BL,INF740KA1QK2,DSPAMC - DSPNEWETF,EF                                                                                                      
BANKETFADD,EQ,INF740KA1RX3,DSPAMC - DSPBANKETF,EF                                                                                                     
HDFCSENSEX,EQ,INF179KC1HX2,HDFCAMC - HDFCSENSEX,EF                                                                                                    
BANKNIFTY1,EQ,INF174K01F59,KOTAKMAMC-KOTAKBKETF,EF                                                                                                    
ALPHA,BL,INF174KA1IA5,KOTAKMAMC - KOTAKALPHA,EF                                                                                                       
MIDCAP,BL,INF174KA1IB3,KOTAKMAMC - KOTAKMID50,EF                                                                                                      
MIDCAP,EQ,INF174KA1IB3,KOTAKMAMC - KOTAKMID50,EF                                                                                                      
SOBHA-RE,BL,INE671H20015,SOBHA LTD-RE,RE                                                                                                              
SBINEQWETF,BL,INF200KB1282,SBIAMC - SBINEQWETF,EF                                                                                                     
COMP-RE,BE,INE070C20011,COMPUAGE INFOCOM LTD,RE                                                                                                       
SBIETFCON,EQ,INF200KA1X17,SBIAMC - SBIETFCON,EF                                                                                                       
GISO-RE,BL,INE065J20016,GI ENGINEERING SOLUTIONS,RE                                                                                                   
SENSEXETF,EQ,INF769K01KT9,MIRAEAMC - SENSEXETF,EF                                                                                                     
SARTE-RE,ST,INE0PUC20012,SAR TELEVENTURE LIMITED,RE                                                                                                   
ELECTCAST,W1,INE086A13016,ELECTCAST WARRANTS,RE                                                                                                       
SRTRANS-RE,BL,INE721A20013,SHRIRAM TRANSPORT RE,RE                                                                                                    
TOP100CASE,BL,INF0R8F01067,ZERODHAAMC - TOP100CASE,EF                                                                                                 
METAL,BL,INF769K01LY7,MIRAEAMC - METAL,EF                                                                                                             
BANKBETF,BL,INF0QA701714,BFAM - BANKBETF,EF                                                                                                           
AURUM-RE,BE,INE898S20011,AURUM PROPTECH LIMITED,RE                                                                                                    
SPENCER-RE,BL,INE020820010,SPENCERS RETAIL RE,RE                                                                                                      
SM545,MF,INF903J01M69,SUNDARMAMC - SM545,EF                                                                                                           
SM548,MF,INF903J01M93,SUNDARMAMC - SM548,EF                                                                                                           
UTINIFTETF,BL,INF789F1AZC0,UTIAMC - UTINIFTETF,EF                                                                                                     
SMCSRIIDG,MF,INF903J01ZA4,SUNDARMAMC - SMCSRIIDG,EF                                                                                                   
VF1DG,MF,INF903J010A7,SUNDARMAMC - VF1DG,EF                                                                                                           
CPSEETF,BL,INF457M01133,CPSE ETF,EF                                                                                                                   
JUNIORBEES,EQ,INF732E01045,NIP IND ETF JUNIOR BEES,EF                                                                                                 
EC1DD,MF,INF903JA1CK8,SUNDARMAMC - EC1DD,EF                                                                                                           
BANKPSU,BL,INF769K01LZ4,MIRAEAMC - BANKPSU,EF                                                                                                         
IBMFNIFTY,BL,INF666M01FS5,IBULLSAMC - IBMFNIFTY,EF                                                                                                    
