GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,AXIS BANK LIMITED,      1196.85,      1131.85,5.74
G,WIPRO LTD,       548.65,       528.75,3.76
G,EICHER MOTORS LTD,      4765.65,      4623.85,3.07
G,ICICI BANK LTD.,      1264.50,      1231.25,2.7
G,SHRIRAM FINANCE LIMITED,      3344.65,      3258.60,2.64
G,HINDALCO  INDUSTRIES  LTD,       753.50,       734.80,2.54
G,HDFC LIFE INS CO LTD,       742.45,       726.10,2.25
G,TATA MOTORS LIMITED,       910.15,       891.60,2.08
G,GRASIM INDUSTRIES LTD,      2760.95,      2705.85,2.04
G,TATA STEEL LIMITED,       155.39,       152.40,1.96
G,NTPC LTD,       424.95,       417.75,1.72
G,JSW STEEL LIMITED,       992.60,       979.50,1.34
G,STATE BANK OF INDIA,       820.40,       811.05,1.15
G,SUN PHARMACEUTICAL IND L,      1910.35,      1889.55,1.1
G,ADANI PORT & SEZ LTD,      1405.60,      1394.70,.78
G,OIL AND NATURAL GAS CORP.,       283.30,       281.60,.6
G,DR. REDDY S LABORATORIES,      6741.10,      6704.05,.55
G,HDFC BANK LTD,      1681.85,      1673.15,.52
G,ULTRATECH CEMENT LIMITED,     11069.30,     11017.30,.47
G,COAL INDIA LTD,       492.20,       489.90,.47
G,BHARTI AIRTEL LIMITED,      1707.85,      1701.15,.39
G,KOTAK MAHINDRA BANK LTD,      1871.05,      1864.05,.38
G,TATA CONSULTANCY SERV LT,      4123.05,      4109.00,.34
G,TATA CONSUMER PRODUCT LTD,      1093.25,      1090.15,.28
G,POWER GRID CORP. LTD.,       332.05,       331.15,.27
G,SBI LIFE INSURANCE CO LTD,      1706.05,      1702.00,.24
G,BAJAJ FINSERV LTD.,      1819.90,      1815.80,.23
G,RELIANCE INDUSTRIES LTD,      2718.60,      2712.85,.21
G,LARSEN & TOUBRO LTD.,      3577.80,      3570.30,.21
G,BAJAJ FINANCE LIMITED,      6899.55,      6899.50,0
 , , , , 
L,LTIMINDTREE LIMITED,      5991.70,      6394.45,-6.3
L,INFOSYS LIMITED,      1879.60,      1968.10,-4.5
L,ASIAN PAINTS LIMITED,      2992.15,      3055.85,-2.08
L,BRITANNIA INDUSTRIES LTD,      5887.20,      5988.50,-1.69
L,NESTLE INDIA LIMITED,      2350.25,      2378.70,-1.2
L,DIVI S LABORATORIES LTD,      6022.25,      6077.40,-0.91
L,HINDUSTAN UNILEVER LTD.,      2717.10,      2738.65,-0.79
L,TECH MAHINDRA LIMITED,      1687.90,      1699.00,-0.65
L,TITAN COMPANY LIMITED,      3381.45,      3403.35,-0.64
L,BAJAJ AUTO LIMITED,     10063.95,     10119.45,-0.55
L,HCL TECHNOLOGIES LTD,      1857.70,      1867.80,-0.54
L,ITC LTD,       486.70,       488.90,-0.45
L,CIPLA LTD,      1551.70,      1558.70,-0.45
L,ADANI ENTERPRISES LIMITED,      3002.00,      3013.75,-0.39
L,MARUTI SUZUKI INDIA LTD.,     12105.10,     12143.75,-0.32
L,APOLLO HOSPITALS ENTER. L,      6982.90,      6989.30,-0.09
L,BHARAT PETROLEUM CORP  LT,       342.50,       342.70,-0.06
L,HERO MOTOCORP LIMITED,      5216.20,      5217.45,-0.02
L,MAHINDRA & MAHINDRA LTD,      2964.25,      2964.60,-0.01
L,INDUSIND BANK LIMITED,      1347.25,      1347.35,-0.01
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,JINDAL STEEL & POWER LTD,       964.50,       930.00,3.71
G,SRF LTD,      2325.70,      2262.95,2.77
G,BANK OF BARODA,       247.97,       241.96,2.48
G,HAVELLS INDIA LIMITED,      1849.70,      1805.55,2.45
G,ADANI ENERGY SOLUTION LTD,      1043.30,      1021.65,2.12
G,CANARA BANK,       104.67,       102.50,2.12
G,VEDANTA LIMITED,       480.85,       472.15,1.84
G,DLF LIMITED,       875.15,       861.00,1.64
G,TORRENT PHARMACEUTICALS L,      3449.50,      3396.65,1.56
G,ICICI PRU LIFE INS CO LTD,       745.35,       735.15,1.39
G,INFO EDGE (I) LTD,      8088.85,      7979.60,1.37
G,TVS MOTOR COMPANY  LTD,      2715.90,      2679.25,1.37
G,SIEMENS LTD,      7803.00,      7717.65,1.11
G,SAMVRDHNA MTHRSN INTL LTD,       205.14,       202.91,1.1
G,ABB INDIA LIMITED,      8783.00,      8690.70,1.06
G,INDIAN RAIL TOUR CORP LTD,       881.00,       871.75,1.06
G,PIDILITE INDUSTRIES LTD,      3184.00,      3154.45,0.94
G,BHARAT ELECTRONICS LTD,       287.15,       284.55,0.91
G,BOSCH LIMITED,     36800.75,     36484.90,0.87
