Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
18 OCT 2024,20MICRONS,BE,20 MICRONS LTD           ,Listed    ,18 OCT 2024,               5.00,          35286502,            306.45,    10813548537.90 
18 OCT 2024,21STCENMGM,BE,21ST CENTURY MGMT SERVICE,Listed    ,18 OCT 2024,              10.00,          10500000,            117.90,     1237845000.00
18 OCT 2024,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,18 OCT 2024,              10.00,         169401417,             28.95,     4907559050.50 
18 OCT 2024,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,18 OCT 2024,              10.00,          11265070,          34011.15,   383137985530.50   
18 OCT 2024,3PLAND,BE,3P LAND HOLDINGS LIMITED ,Listed    ,18 OCT 2024,               2.00,          18000000,             36.90,      664200000.00    
18 OCT 2024,3RDROCK,IT,3RD ROCK MULTIMEDIA LTD  ,Listed    ,13 SEP 2023,              10.00,          22523750,             68.00,     1531615000.00   
18 OCT 2024,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,18 OCT 2024,              10.00,          31220113,            532.25,    16616905144.25    
18 OCT 2024,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,18 OCT 2024,               2.00,          46078537,            496.60,    22882601474.20   
18 OCT 2024,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,18 OCT 2024,              10.00,         176119858,             18.55,     3267023365.90  
18 OCT 2024,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,18 OCT 2024,              10.00,          12826800,            131.70,     1689033024.00   
18 OCT 2024,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,18 OCT 2024,              10.00,         429738617,            439.05,   188676739793.85 
18 OCT 2024,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,18 OCT 2024,               1.00,         101250000,             11.45,     1161337500.00    
18 OCT 2024,AAREYDRUGS,BE,AAREY DRUGS & PHARM LTD  ,Listed    ,18 OCT 2024,              10.00,          25384684,             64.15,     1628173631.75
18 OCT 2024,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,18 OCT 2024,              10.00,          10473239,            271.65,     2845055374.35     
