SYMBOL,SYMBOL P/E,ADJUSTED P/E
SAREGAMA,55.1,55.1
ENGINERSIN,34.87,34.87
JAICORPLTD,104.39,104.39
MAHAPEXLTD,28.52,40.48
ASAHIINDIA,58.87,58.87
KOTHARIPRO,33.67,33.67
SOUTHBANK,5.44,5.44
ITDCEM,32.21,32.21
CYIENT,30.27,28.55
GOACARBON,9.44,9.44
SANGHVIMOV,21.12,21.12
RSSOFTWARE,31.92,31.92
NATIONALUM,17.89,20.76
ALEMBICLTD,34.32,34.32
BSOFT,25.77,25.77
STAR,180.44,52.47
ZYDUSLIFE,24.56,24.56
RAJESHEXPO,218.09,218.09
IOB,35.71,35.71
BLBLIMITED,12.44,12.44
BLUESTARCO,83.18,83.18
PNBGILTS,32.53,35.55
TAJGVK,25.49,25.49
HAVELLS,80.29,80.29
MRO-TEK,28.03,28.03
TRIDENT,54.65,54.67
GODREJCP,,70.24
BHARTIARTL,111.02,92.13
APTECHT,45.88,41.49
OFSS,42.73,42.73
OMAXAUTO,17.06,
DIVISLAB,96.38,96.38
BAGFILMS,24.67,24.67
UNIENTER,30.78,30.78
PTC,10.24,10.02
MAHABANK,8.52,8.52
POONAWALLA,16.8,24
DATAMATICS,18.97,18.71
LT,30.89,31.02
CENTEXT,23.89,24.25
COFORGE,60.56,61.25
GULFPETRO,13.68,13.68
ASTRAMICRO,64.23,64.23
JBMA,103.61,103.61
XCHANGING,39.11,39.11
CONSOFINVT,10.98,10.98
SAKSOFT,32.66,32.66
MANGALAM,28.37,28.37
PRIMESECU,42.85,48.35
JSWHL,88.7,88.7
YESBANK,45.04,45.04
RML,83.38,16.32
AURIONPRO,60.78,60.78
AIAENG,35.36,35.38
ORIENTCER,33.44,36.95
VIMTALABS,29.79,29.79
NITINSPIN,15.92,15.92
ENIL,31.48,31.48
KEC,67.43,67.43
INDOTECH,53.92,53.92
BLKASHYAP,31.21,33.55
CENTURYPLY,71.75,70.13
VAKRANGEE,490.17,520.18
GALLANTT,27.28,27.28
UTTAMSUGAR,11.91,11.91
GPIL,12.77,12.76
LOKESHMACH,50.72,50.72
KAMDHENU,27.07,27.07
PIONEEREMB,51.64,51.64
MUNJALAU,35.87,21.41
GRINDWELL,71.47,71.42
ATLANTAA,.79,4.99
ACE,47.95,47.95
BINANIIND,34.13,
ALICON,29.9,29.9
DCBBANK,6.63,6.63
TORNTPOWER,39.5,39.5
SOBHA,435.94,436.02
NFL,34.54,34.54
PARACABLES,24.31,24.31
VEEDOL,27.65,27.65
PTL,21.53,21.53
UNOMINDA,72.09,73.84
CTE,266.89,266.89
PGIL,24.74,25.33
TFL,117.67,117.67
PAGEIND,88.03,88.03
AMDIND,100.25,100.25
THEMISMED,80.1,80.1
BANSWRAS,19.1,19.1
NDLVENTURE,283.25,283.25
SRHHYPOLTD,19.32,17.41
INSECTICID,19.78,19.78
HGS,63.01,63.01
DLF,125.54,125.54
ADSL,34.07,34.07
CENTRALBK,15.29,15.29
KPRMILL,39.73,39.73
NAGREEKCAP,1.01,1.01
CENTUM,,4455.14
MANGCHEFER,10.59,10.59
BAJAJELEC,79.84,79.84
RGL,22.74,22.74
KAUSHALYA,2.93,2.93
HITECHCORP,29.66,30.66
TARIL,102.55,102.55
MANAKSIA,8.63,6.55
DVL,28.7,28.7
ARIES,16.19,16.19
KNRCON,11.33,11.33
SEPC,170.58,170.58
GSS,27.5,27.5
VGUARD,65.25,65.25
DPSCLTD,105.54,105.54
TITAGARH,52.81,52.52
BAJAJFINSV,18.02,18.02
DIGISPICE,13.76,36.84
RPGLIFE,50.12,50.12
RBL,19.34,18.94
UBL,116.93,116.93
ZFCVINDIA,67.62,67.62
20MICRONS,17.48,17.14
COUNCODOS,33.84,33.84
TPHQ,19.31,19.31
GKWLIMITED,160.41,160.41
EXCEL,81.28,81.28
GLOBUSSPR,42.77,42.77
EXPLEOSOL,21.15,21.15
RTNPOWER,.87,
REFEX,58.01,58.03
JSWENERGY,60.63,60.63
HINDCOPPER,84.77,84.77
NESTLEIND,70.79,72.19
WHIRLPOOL,102.05,97.46
THANGAMAYL,55.75,55.75
