MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y,Nifty 50,     24749.85,     24664.95,     24886.20,     24567.65,     24854.05,1041453969422.96,3007539874,Y, ,35538164,     26277.35,     18926.65
Y,NIFTY50 EQL Wgt,     31741.55,     31683.75,     31964.45,     31497.30,     31912.90,0,0,Y, ,0,          .00,          .00
Y,NIFTY100 EQL Wgt,     33684.55,     33611.60,     33874.30,     33348.85,     33822.45,0,0,Y, ,0,          .00,          .00
Y,NIFTY100 LowVol30,     20344.55,     20304.60,     20392.05,     20204.45,     20340.00,0,0,Y, ,0,          .00,          .00
Y,NIFTY Alpha 50,     58866.65,     58529.50,     59012.00,     57689.30,     58927.15,0,0,Y, ,0,          .00,          .00
Y,NIFTY MIDCAP 150,     21718.50,     21625.75,     21785.35,     21384.00,     21755.65,0,0,Y, ,0,     22515.40,     14398.85
Y,NIFTY SMLCAP 50,      9170.75,      9114.65,      9193.45,      8968.35,      9177.70,0,0,Y, ,0,      9446.50,      5745.95
Y,NIFTY SMLCAP 250,     18244.30,     18151.25,     18261.85,     17848.75,     18236.80,0,0,Y, ,0,     18688.30,     11885.85
Y,NIFTY MIDSML 400,     20526.45,     20432.65,     20570.10,     20164.10,     20545.80,0,0,Y, ,0,     21177.60,     13522.70
Y,NIFTY200 QUALTY30,     22527.95,     22424.55,     22431.20,     22234.05,     22336.70,0,0,Y, ,0,          .00,          .00
Y,Nifty FinSrv25 50,     26010.50,     25969.15,     26452.70,     25799.35,     26396.15,0,0,Y, ,0,          .00,          .00
Y,NIFTY AlphaLowVol,     29467.30,     29485.95,     29693.15,     29215.40,     29649.05,0,0,Y, ,0,          .00,          .00
Y,Nifty200Momentm30,     36372.15,     36301.50,     36708.20,     35910.75,     36643.40,0,0,Y, ,0,          .00,          .00
Y,Nifty100ESGSecLdr,      4144.75,      4126.35,      4165.45,      4113.95,      4158.65,0,0,Y, ,0,          .00,          .00
Y,NIFTY100 ESG,      4981.25,      4961.35,      4998.60,      4942.40,      4990.70,0,0,Y, ,0,          .00,          .00
Y,NIFTY M150 QLTY50,     25612.90,     25468.85,     25612.15,     25219.80,     25569.00,0,0,Y, ,0,          .00,          .00
Y,NIFTY INDIA MFG,     14931.05,     14891.95,     15066.35,     14760.30,     15034.30,0,0,Y, ,0,          .00,          .00
Y,Nifty200 Alpha 30,     28039.95,     27969.40,     28262.10,     27711.00,     28210.95,0,0,Y, ,0,          .00,          .00
Y,NiftyM150Momntm50,     66052.50,     65708.95,     66390.05,     64914.50,     66258.30,0,0,Y, ,0,          .00,          .00
Y,Nifty IT,     42734.30,     42216.90,     42579.75,     41838.00,     42106.50,0,0,Y, ,0,     43645.90,     30283.15
Y,Nifty Next 50,     74007.20,     73813.60,     74415.90,     73085.00,     74288.10,0,0,Y, ,0,     77918.00,     43252.50
Y,Nifty Bank,     51288.80,     51261.00,     52199.45,     51000.90,     52094.20,0,0,Y, ,0,     54467.35,     42390.50
