ScripCode,Symbol,NSE Exclusive,Status,Series,GSM,Long_Term_Additional_Surveillance_Measure (Long Term ASM),Unsolicited_SMS,Insolvency_Resolution_Process(IRP),Short_Term_Additional_Surveillance_Measure (Short Term ASM),Default,ICA,Filler4,Filler5,Pledge,Add-on_PB,Total Pledge,Social Media Platforms,ESM,Loss making,The Overall encumbered share in the scrip is more than 50 Percent.,Under BZ/SZ Series,Company has failed to pay Annual listing fee,Filler12,Derivative contracts in the scrip to be moved out of F and O,Filler13,Filler14,Filler15,Filler16
NA,21STCENMGM,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,AARVEEDEN,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,ANIKINDS,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,ANTGRAPHIC,Y,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,AVONMORE,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,AYMSYNTEX,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,BLUECHIP,N,A,BE,0,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,BROOKS,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,0,100,100,100,,100,,,,
NA,CCCL,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,CMMIPL,Y,A,ST,100,100,100,0,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,DGCONTENT,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,0,100,100,100,,100,,,,
NA,DJML,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,ELECTHERM,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,EMKAY,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,ESSARSHPNG,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,FEL,N,A,BZ,100,100,100,0,100,100,100,,,100,100,100,100,100,100,100,0,100,,100,,,,
NA,FOCUS,Y,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,GLOBALVECT,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,GVKPIL,N,A,BE,100,100,100,0,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,HARRMALAYA,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,IITL,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,IL&FSENGG,N,A,BZ,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,0,100,,100,,,,
NA,IL&FSTRANS,N,A,BZ,0,100,100,100,100,100,100,,,100,100,100,100,2,100,100,0,100,,100,,,,
NA,INDOTHAI,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,INSPIRISYS,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,INTENTECH,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,IRIS,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,IZMO,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,KAVVERITEL,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,KEEPLEARN,N,A,BE,0,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,KREBSBIO,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,0,100,100,100,,100,,,,
NA,LGHL,Y,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,MAHASTEEL,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,MANORG,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,MBECL,N,A,BZ,0,100,100,100,100,100,100,,,100,100,100,100,2,0,100,0,100,,100,,,,
NA,MINDTECK,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,NOIDATOLL,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,0,100,100,100,,100,,,,
NA,NORBTEAEXP,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,OILCOUNTUB,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,ONELIFECAP,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,OSIAHYPER,Y,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,OSWALAGRO,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,PANACHE,Y,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,PARASPETRO,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,PIGL,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,PRAXIS,N,A,BE,0,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,PRUDMOULI,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,RAJRILTD,N,A,BE,100,100,100,0,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
NA,RATNAVEER,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
NA,RBZJEWEL,N,A,BE,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
NA,REGENCERAM,N,A,BE,0,100,100,100,100,100,100,,,100,100,100,100,2,0,100,100,100,,100,,,,
