SYMBOL,SERIES,SECURITY,HIGH/LOW,INDEX FLAG
20MICRONS,BE,20 MICRONS LTD,H
21STCENMGM,BE,21ST CENTURY MGMT SERVICE,H
74GS2062,GS,GOI LOAN  7.4% 2062,H
A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,H
ABINFRA,ST,A B INFRABUILD LIMITED,H
ABMINTLLTD,EQ,ABM INTERNATIONAL LTD,H
AGROPHOS,EQ,AGRO PHOS INDIA LIMITED,H
AILIMITED,ST,ABHISHEK INTEGRATIONS LTD,H
AMEYA,ST,AMEYA PRECISION ENG LTD,H
ANKITMETAL,BE,ANKIT MET & POW LTD,H
ANLON,SM,ANLON TECHNOLOGY SOL LTD,H
ARTNIRMAN,BE,ART NIRMAN LIMITED,H
ARVEE,EQ,ARVEE LABORATORIES I LTD,H
ATALREAL,EQ,ATAL REALTECH LIMITED,H
BANKA,EQ,BANKA BIOLOO LIMITED,H
BASILIC,SM,BASILIC FLY STUDIO LTD,H
BBOX,EQ,BLACK BOX LIMITED,H
BLUECHIP,BE,BLUE CHIP INDIA LIMITED,H
BTML,EQ,BODHI TREE MULTIMEDIA LTD,H
BURNPUR,BE,BURNPUR CEMENT LTD.,H
CMMIPL,ST,CMM INFRAPROJECTS LIMITED,H
CMRSL,SM,CYBER MEDIA RES & SER LTD,H
CONTI,ST,CONTINENTAL SEED CHEM LTD,H
CPS,ST,C P S SHAPERS LIMITED,H
CREATIVEYE,EQ,CREATIVE EYE LIMITED,H
DCMFINSERV,BE,DCM FINANCIAL SERVICES LT,H
E2E,BE,E2E NETWORKS LIMITED,H
ENFUSE,SM,ENFUSE SOLUTIONS LIMITED,H
FEL,BZ,FUTURE ENTERPRISES LTD,H
FILATFASH,BE,FILATEX FASHIONS LIMITED,H
FLEXITUFF,BE,FLEXITUFF VENTURES INT L,H
FMNL,BE,FUTURE MKT NETWORKS LTD,H
GATECH,BE,GACM TECHNOLOGIES LIMITED,H
GAYAHWS,BE,GAYATRI HIGHWAYS LIMITED,H
HAVISHA,BE,SRI HAVISHA HOSP & INFR L,H
HIGREEN,ST,HI GREEN CARBON LIMITED,H
HIRECT,EQ,HIND RECTIFIER LIMITED,H
HMT,BZ,HMT LTD -,H
HRHNEXT,ST,HRH NEXT SERVICES LIMITED,H
HVAX,ST,HVAX TECHNOLOGIES LIMITED,H
IBLFL,ST,IBL FINANCE LIMITED,H
ICDSLTD,BE,ICDSLTD,H
IMPEXFERRO,BE,IMPEX FERRO TECH LIMITED,H
INDOTECH,BE,INDO TECH TRANSFORM LTD.,H
