SEBI REPORT AS ON Reporting date 17-OCT-2024,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,8081692.93,
2,Fresh Exposure taken during the day,497770.01,
3,Exposure liquidated during the day,430192.09,
4,Net scripwise outstanding at the end of the day,8149270.85,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,5178,16.35
360ONE,360 ONE WAM LIMITED,645158,6348.59
3IINFOLTD,3I INFOTECH LIMITED,1666771,500.36
3MINDIA,3M INDIA LIMITED,5855,1934.80
5PAISA,5PAISA CAPITAL LIMITED,106198,484.18
63MOONS,63 MOONS TECHNOLOGIES LTD,137928,660.53
AADHARHFC,AADHAR HOUSING FINANCE L,205079,835.90
AARON,AARON INDUSTRIES LIMITED,792,1.96
AARTECH,AARTECH SOLONICS LIMITED,2645,2.02
AARTIDRUGS,AARTI DRUGS LTD.,443030,2382.33
AARTIIND,AARTI INDUSTRIES LTD,2635029,14984.48
AARTIPHARM,AARTI PHARMALABS LIMITED,221274,1280.72
AARTISURF,AARTI SURFACTANTS LIMITED,3326,22.10
AARVI,AARVI ENCON LIMITED,2625,4.35
AAVAS,AAVAS FINANCIERS LIMITED,210549,3461.23
ABAN,ABAN OFFSHORE LTD.,1250,0.99
ABB,ABB INDIA LIMITED,94652,7159.65
ABBOTINDIA,ABBOTT INDIA LIMITED,5314,1358.24
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,6960565,14868.56
ABDL,ALLIED BLEND N DISTILS L,847775,2620.31
ABFRL,ADITYA BIRLA FASHION & RT,5487622,17457.21
ABREL,ADITYA BIRLA REAL EST LTD,309154,6815.57
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,405724,2734.26
ABSLBANETF,BIRLASLAMC - ABSLBANETF,66479,30.80
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,262676,202.67
ABSLPSE,BIRLASLAMC-ABSLPSE,132762,12.08
ACC,ACC LIMITED,442918,9887.72
