Symbol,Series,Name,Band,Remarks
APS,ST,Australian Premium Solar (India) Limited,2,"-"
CADSYS,ST,Cadsys (India) Limited,2,"-"
CMMIPL,ST,CMM Infraprojects Limited,2,"-"
ENSER,ST,Enser Communications Limited,2,"-"
ESFL,ST,Essen Speciality Films Limited,2,"-"
SEL,ST,Sungarner Energies Limited,2,"-"
SPRL,ST,SP REFRACTORIES LIMITED,2,"-"
VINYAS,ST,Vinyas Innovative Technologies Limited,2,"-"
3RDROCK,IT,3rd Rock Multimedia Limited,5,"-"
ABCOTS,ST,A B Cotspin India Limited,5,"-"
ABINFRA,ST,A B Infrabuild Limited,5,"-"
ACCORD,SM,Accord Synergy Limited,5,"-"
ACSAL,ST,Arvind and Company Shipping Agencies Limited,5,"-"
AGARWALFT,SM,Agarwal Float Glass India Limited,5,"-"
AGUL,SM,A G Universal Limited,5,"-"
AHIMSA,ST,Ahimsa Industries Limited,5,"-"
AILIMITED,ST,Abhishek Integrations Limited,5,"-"
AIMTRON,ST,Aimtron Electronics Limited,5,"-"
AISL,ST,ANI Integrated Services Limited,5,"-"
AKANKSHA,SM,Akanksha Power and Infrastructure Limited,5,"-"
ALPEXSOLAR,SM,Alpex Solar Limited,5,"-"
ALUWIND,ST,Aluwind Architectural Limited,5,"-"
AMBANIORGO,SM,AMBANI ORGOCHEM LIMITED,5,"-"
AMEYA,ST,Ameya Precision Engineers Limited,5,"-"
ANLON,SM,Anlon Technology Solutions Limited,5,"-"
ARIHANTACA,ST,Arihant Academy Limited,5,"-"
ASCOM,ST,Ascom Leasing & Investments Limited,5,"-"
ASLIND,SM,ASL Industries Limited,5,"-"
ATMASTCO,ST,Atmastco Limited,5,"-"
AVPINFRA,ST,AVP Infracon Limited,5,"-"
AVSL,ST,AVSL Industries Limited,5,"-"
BALCO,ST,Solve Plastic Products Limited,5,"-"
BASILIC,SM,Basilic Fly Studio Limited,5,"-"
BDR,IT,BDR Buildcon Limited,5,"-"
BIRDYS,SM,Grill Splendour Services Limited,5,"-"
CANARYS,SM,Canarys Automations Limited,5,"-"
CELLECOR,ST,Cellecor Gadgets Limited,5,"-"
CLOUD,ST,Varanium Cloud Limited,5,"-"
CMNL,ST,Chaman Metallics Limited,5,"-"
CMRSL,SM,Cyber Media Research & Services Limited,5,"-"
CONTI,ST,Continental Seeds and Chemicals Limited,5,"-"
COOLCAPS,ST,Cool Caps Industries Limited,5,"-"
CPS,ST,C P S Shapers Limited,5,"-"
DCG,SM,DCG Cables & Wires Limited,5,"-"
DESTINY,ST,Destiny Logistics & Infra Limited,5,"-"
DHTL,ST,Docmode Health Technologies Limited,5,"-"
DIGIKORE,SM,Digikore Studios Limited,5,"-"
DRL,SM,Dhanuka Realty Limited,5,"-"
DRONE,ST,Drone Destination Limited,5,"-"
DRSCARGO,ST,DRS Cargo Movers Limited,5,"-"
DRSDILIP,ST,DRS Dilip Roadlines Limited,5,"-"
DUCOL,SM,Ducol Organics And Colours Limited,5,"-"
DYNAMIC,ST,Dynamic Services & Security Limited,5,"-"
EFFWA,ST,Effwa Infra & Research Limited,5,"-"
ENFUSE,SM,Enfuse Solutions Limited,5,"-"
ESCONET,ST,Esconet Technologies Limited,5,"-"
FELIX,ST,Felix Industries Limited,5,"-"
FOCE,ST,Foce India Limited,5,"-"
GAJANAND,ST,Gajanand International Limited,5,"-"
GIRRESORTS,IT,GIR Natureview Resorts Limited,5,"-"
GOLDKART,ST,Goldkart Jewels Limited,5,"-"
GRAPHISAD,ST,Graphisads Limited,5,"-"
GRCL,ST,Gayatri Rubbers And Chemicals Limited,5,"-"
GRETEX,ST,Gretex Industries Limited,5,"-"
GSMFOILS,ST,GSM Foils Limited,5,"-"
GSTL,SM,Globesecure Technologies Limited,5,"-"
HIGREEN,ST,Hi-Green Carbon Limited,5,"-"
