Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,18102024,1124899511,0002515
Trade Date <18-OCT-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL27,N3,165,165,100.00
20,2,1003ICCL28,NX,10,10,100.00
20,3,1003ISFL28,N4,544,524,96.32
20,4,1015ECL29,NR,2512,2512,100.00
20,5,1018GS2026,GS,2602,2601,99.96
20,6,1025ICCL26,NT,10,10,100.00
20,7,1025NFL25,N5,214,125,58.41
20,8,1025SCL34,Z8,15,15,100.00
20,9,1025SCL34B,N1,40,40,100.00
20,10,1035UCL24,N6,95,95,100.00
20,11,1040UCL25,N4,5,5,100.00
20,12,1050IIFL29,ND,10,10,100.00
20,13,1050NFL26,N7,1981,1980,99.95
20,14,1050UCL25,N7,80,80,100.00
20,15,105UCL2026,NB,10,10,100.00
20,16,1060ECL29,NS,25,25,100.00
20,17,1065NFL27,NC,782,682,87.21
20,18,10CAGL27,N5,20,20,100.00
20,19,10IIFL28,N4,612,512,83.66
20,20,10IIFL28A,NE,150,150,100.00
20,21,10IIFL29,N6,180,180,100.00
20,22,10NIDO26,N6,96,96,100.00
20,23,10SCL30A,BV,12,12,100.00
20,24,1102NFL26,N8,350,350,100.00
20,25,1119NFL27,ND,314,314,100.00
20,26,1190VCCL26,N0,1,1,100.00
20,27,11DLSL25,NV,5,5,100.00
20,28,360ONE,EQ,1002832,630690,62.89
20,29,364D020525,TB,100,100,100.00
20,30,364D030425,TB,1000,1000,100.00
20,31,364D040925,TB,300,300,100.00
20,32,364D080525,TB,300,300,100.00
20,33,364D091025,TB,100,100,100.00
20,34,364D150525,TB,900,900,100.00
20,35,364D190625,TB,9000,9000,100.00
20,36,364D310725,TB,100,100,100.00
20,37,3IINFOLTD,EQ,682305,330753,48.48
20,38,3MINDIA,EQ,4513,2518,55.79
20,39,563GS2026,GS,1,1,100.00
20,40,5PAISA,EQ,683445,203534,29.78
20,41,63MOONS,EQ,524922,188877,35.98
20,42,654GS2032,GS,22,22,100.00
20,43,664GS2035,GS,4600,4600,100.00
20,44,667GS2050,GS,10100,10100,100.00
20,45,679GS2034,GS,1,1,100.00
20,46,68GS2060,GS,2,2,100.00
20,47,697GR2034,GS,100,100,100.00
20,48,699GS2026,GS,69100,67100,97.11
20,49,702GS2027,GS,100,100,100.00
20,50,704GS2029,GS,4900,4900,100.00
20,51,706GS2028,GS,2850,2850,100.00
20,52,709GS2054,GS,7600,6600,86.84
20,53,710GS2029,GS,3508,3108,88.60
20,54,716GS2050,GS,52,52,100.00
20,55,717GS2030,GS,85524,85524,100.00
20,56,718GS2033,GS,5900,5000,84.75
20,57,718GS2037,GS,33640,24140,71.76
20,58,71GS2034,GS,5600,5000,89.29
20,59,723GS2039,GS,1,1,100.00
20,60,725GS2063,GS,604,601,99.50
20,61,726GS2032,GS,58865,58865,100.00
20,62,726GS2033,GS,117,117,100.00
20,63,727GS2026,GS,100,100,100.00
20,64,729NHAI26,NC,7,7,100.00
20,65,732GS2030,GS,20400,20300,99.51
20,66,732IRFC25,NI,516,516,100.00
20,67,733GS2026,GS,10460,10460,100.00
20,68,734GS2064,GS,2377,2377,100.00
20,69,736PFCL28,N2,250,250,100.00
20,70,737GS2028,GS,400,400,100.00
20,71,737NTPC35C,NA,1,1,100.00
20,72,738GS2027,GS,209029,209029,100.00
20,73,738REC27TF,N2,11,11,100.00
20,74,739NHAI26,N8,87,87,100.00
20,75,73GS2053,GS,26375,26375,100.00
20,76,741GS2036,GS,76003,76002,100.00
20,77,743REC35,NH,30,30,100.00
20,78,746GS2073,GS,2000,2000,100.00
20,79,74GS2035,GS,1,1,100.00
20,80,74GS2062,GS,4816,4000,83.06
20,81,750IRFC35,NK,540,540,100.00
20,82,753IRFC30,NJ,97,97,100.00
20,83,754GS2036,GS,161474,122474,75.85
20,84,757GS2033,GS,10,10,100.00
20,85,760PFCL35,N3,511,511,100.00
20,86,762NTPC35F,ND,499,499,100.00
20,87,764HUDCO31,N8,50,50,100.00
20,88,764IRFC31,NO,296,200,67.57
20,89,764NABAR31,N2,45,45,100.00
20,90,769NHAI31,NE,80,80,100.00
20,91,76NHAI31,NA,650,650,100.00
20,92,772GS2049,GS,5,5,100.00
20,93,778AS34,SG,100,100,100.00
20,94,78ABFL33,N4,37,37,100.00
20,95,797IGT31,NL,1052,1052,100.00
20,96,79NHIT35,N1,859,859,100.00
20,97,79NHIT40,N2,208,188,90.38
20,98,79NHIT47,N3,11,11,100.00
20,99,801TCH25,N4,10,10,100.00
20,100,810IRFC27,N2,4295,4286,99.79
20,101,81TCHF28,N8,90,90,100.00
20,102,820IIFL27,N9,5,5,100.00
20,103,824GS2027,GS,947,947,100.00
20,104,825IIFL25,N7,1,1,100.00
20,105,828GS2027,GS,1820,1820,100.00
20,106,829LTF24,NL,126,126,100.00
20,107,82HUDCO27,N2,2996,2096,69.96
20,108,82IGT31,NJ,300,300,100.00
20,109,830NHAI27,N2,9912,8498,85.73
20,110,830PFCL27,N5,51,51,100.00
20,111,842IIFL26,NL,1251,1231,98.40
20,112,843IHFL29,NC,25,25,100.00
20,113,849NTPC25,N7,91777,87662,95.52
20,114,850NHAI29,N5,7,7,100.00
20,115,865IFL28,NZ,60,60,100.00
20,116,865IIFL28,NS,251,251,100.00
20,117,865IRFC29,NA,25,25,100.00
20,118,865LTF26,NN,615,615,100.00
20,119,86GS2028,GS,301,301,100.00
20,120,86LTF24,NJ,100,100,100.00
20,121,871REC28,N9,39,39,100.00
20,122,872MMFSL26,N1,90,90,100.00
20,123,875IIFL26,NM,3,3,100.00
20,124,875NHAI29,N6,3224,3224,100.00
20,125,876HUDCO28,ND,6,6,100.00
20,126,879NHPC28,N5,100,100,100.00
20,127,883GS2041,GS,1,1,100.00
20,128,885MOFSL26,N0,47,42,89.36
20,129,888ERFL28,N5,257,257,100.00
20,130,888IRFC29,NE,646,646,100.00
20,131,888NHB29,N5,83,83,100.00
20,132,888REC29,NF,102,102,100.00
20,133,889SCL27,YT,18,12,66.67
20,134,891IIFCL34,N4,30,30,100.00
20,135,891NTPC33,N6,51,50,98.04
